Date,USD,GBP,EURO,,,https://www.quandl.com/api/v3/datasets/LBMA/SILVER.csv?api_key=TYozsYkiZmn4AGLbqEsV
9/11/18,14.125,10.85,12.19,,,
9/10/18,14.215,10.99,12.28,,,
9/7/18,14.185,10.9,12.2,,,
9/6/18,14.265,11.03,12.27,,,
9/5/18,14.17,11.05,12.22,,,
9/4/18,14.25,11.11,12.33,,,
9/3/18,14.525,11.27,12.5,,,
8/31/18,14.655,11.27,12.56,,,
8/30/18,14.665,11.27,12.54,,,
8/29/18,14.69,11.4,12.6,,,
8/28/18,14.9,11.56,12.74,,,
8/24/18,14.62,11.37,12.63,,,
8/23/18,14.625,11.34,12.62,,,
8/22/18,14.81,11.49,12.77,,,
8/21/18,14.785,11.52,12.83,,,
8/20/18,14.755,11.57,12.93
8/17/18,14.66,11.54,12.87
8/16/18,14.605,11.51,12.85
8/15/18,14.825,11.66,13.1
8/14/18,15.035,11.77,13.18
8/13/18,15.185,11.91,13.35
8/10/18,15.375,12.04,13.41
8/9/18,15.48,12.01,13.35
8/8/18,15.345,11.93,13.24
8/7/18,15.465,11.93,13.34
8/6/18,15.345,11.86,13.3
8/3/18,15.36,11.81,13.26
8/2/18,15.45,11.78,13.29
8/1/18,15.475,11.79,13.24
7/31/18,15.43,11.72,13.15
7/30/18,15.49,11.81,13.25
7/27/18,15.355,11.72,13.2
7/26/18,15.535,11.79,13.27
7/25/18,15.565,11.83,13.31
7/24/18,15.51,11.81,13.24
7/23/18,15.485,11.78,13.22
7/20/18,15.37,11.79,13.19
7/19/18,15.26,11.75,13.16
7/18/18,15.44,11.85,13.29
7/17/18,15.77,11.91,13.46
7/16/18,15.81,11.9,13.49
7/13/18,15.81,12.04,13.6
7/12/18,15.84,12,13.58
7/11/18,15.915,12.02,13.59
7/10/18,15.93,12.04,13.61
7/9/18,16.205,12.15,13.76
7/6/18,15.995,12.09,13.66
7/5/18,15.95,12.04,13.65
7/4/18,16.045,12.15,13.78
7/3/18,15.93,12.08,13.68
7/2/18,15.98,12.14,13.73
6/29/18,16.03,12.2,13.77
6/28/18,16.11,12.3,13.9
6/27/18,16.21,12.27,13.93
6/26/18,16.225,12.25,13.9
6/25/18,16.375,12.35,14.05
6/22/18,16.425,12.35,14.11
6/21/18,16.245,12.33,14.07
6/20/18,16.285,12.38,14.09
6/19/18,16.355,12.42,14.16
6/18/18,16.605,12.53,14.29
6/15/18,17.225,12.96,14.86
6/14/18,17.125,12.75,14.48
6/13/18,16.905,12.68,14.37
6/12/18,16.855,12.58,14.3
6/11/18,16.76,12.55,14.23
6/8/18,16.72,12.49,14.25
6/7/18,16.745,12.44,14.15
6/6/18,16.545,12.33,14.06
6/5/18,16.385,12.26,14.03
6/4/18,16.44,12.29,14.03
6/1/18,16.42,12.32,14.02
5/31/18,16.55,12.42,14.17
5/30/18,16.37,12.33,14.08
5/29/18,16.475,12.43,14.26
5/25/18,16.67,12.49,14.24
5/24/18,16.51,12.32,14.09
5/23/18,16.53,12.38,14.11
5/22/18,16.58,12.32,14.04
5/21/18,16.34,12.19,13.91
5/18/18,16.39,12.16,13.92
5/17/18,16.385,12.14,13.9
5/16/18,16.255,12.07,13.79
5/15/18,16.41,12.12,13.77
5/14/18,16.645,12.25,13.89
5/11/18,16.76,12.35,14.04
5/10/18,16.6,12.24,13.97
5/9/18,16.44,12.12,13.84
5/8/18,16.445,12.17,13.85
5/4/18,16.415,12.1,13.72
5/3/18,16.465,12.12,13.74
5/2/18,16.35,11.98,13.62
5/1/18,16.25,11.87,13.51
4/30/18,16.38,11.93,13.54
4/27/18,16.53,12.01,13.68
4/26/18,16.575,11.87,13.61
4/25/18,16.565,11.87,13.57
4/24/18,16.595,11.9,13.59
4/23/18,16.935,12.14,13.85
4/20/18,17.11,12.15,13.91
4/19/18,17.195,12.09,13.91
4/18/18,16.945,11.93,13.7
4/17/18,16.625,11.6,13.44
